run_id,timestamp,epoch,build_order,phase,template,site_code,target,seconds,note
1789692229-3139762,2026-09-18T02:43:49+02:00,1789692229,parallel,run_start,-,-,-,0,domains=8 targets=8 steps=64 sbranch=26091802bro
1789692229-3139762,2026-09-18T03:01:29+02:00,1789693289,parallel,prepare,-,-,-,1060,
1789692229-3139762,2026-09-18T03:13:28+02:00,1789694008,parallel,build,01_vel,01_vel,ath79-generic,718,
1789692229-3139762,2026-09-18T03:25:58+02:00,1789694758,parallel,build,01_vel,01_vel,ramips-mt7621,693,
1789692229-3139762,2026-09-18T03:35:32+02:00,1789695332,parallel,build,01_vel,01_vel,ramips-mt76x8,525,
1789692229-3139762,2026-09-18T03:48:25+02:00,1789696105,parallel,build,01_vel,01_vel,mediatek-filogic,730,
1789692229-3139762,2026-09-18T04:00:37+02:00,1789696837,parallel,build,01_vel,01_vel,ipq40xx-generic,682,
1789692229-3139762,2026-09-18T04:14:14+02:00,1789697654,parallel,build,01_vel,01_vel,x86-64,762,
1789692229-3139762,2026-09-18T04:22:33+02:00,1789698153,parallel,build,01_vel,01_vel,ramips-mt7620,495,
1789692229-3139762,2026-09-18T04:34:08+02:00,1789698848,parallel,build,01_vel,01_vel,mpc85xx-p1020,673,
1789692229-3139762,2026-09-18T04:42:01+02:00,1789699321,parallel,build,03_rat,03_rat,ath79-generic,469,
1789692229-3139762,2026-09-18T04:42:53+02:00,1789699373,parallel,build,03_rat,03_rat,ramips-mt7621,461,
1789692229-3139762,2026-09-18T04:44:09+02:00,1789699449,parallel,build,03_rat,03_rat,x86-64,477,
1789692229-3139762,2026-09-18T04:45:31+02:00,1789699531,parallel,build,03_rat,03_rat,ipq40xx-generic,499,
1789692229-3139762,2026-09-18T04:46:35+02:00,1789699595,parallel,build,03_rat,03_rat,mediatek-filogic,503,
1789692229-3139762,2026-09-18T04:48:20+02:00,1789699700,parallel,build,03_rat,03_rat,ramips-mt76x8,548,
1789692229-3139762,2026-09-18T04:51:48+02:00,1789699908,parallel,build,05_mon,05_mon,ramips-mt7621,531,
1789692229-3139762,2026-09-18T04:53:35+02:00,1789700015,parallel,build,05_mon,05_mon,ath79-generic,656,
1789692229-3139762,2026-09-18T04:54:06+02:00,1789700046,parallel,build,05_mon,05_mon,x86-64,541,
1789692229-3139762,2026-09-18T04:54:57+02:00,1789700097,parallel,build,05_mon,05_mon,ipq40xx-generic,528,
1789692229-3139762,2026-09-18T04:55:59+02:00,1789700159,parallel,build,05_mon,05_mon,mediatek-filogic,526,
1789692229-3139762,2026-09-18T04:57:24+02:00,1789700244,parallel,build,05_mon,05_mon,ramips-mt76x8,495,
1789692229-3139762,2026-09-18T05:00:49+02:00,1789700449,parallel,build,12_dusuk,12_dusuk,ramips-mt7621,535,
