run_id,timestamp,epoch,build_order,phase,template,site_code,target,seconds,note
1789188789-1378490,2026-09-12T06:53:09+02:00,1789188789,parallel,run_start,-,-,-,0,domains=9 targets=9 steps=81 sbranch=26091206bro
1789188789-1378490,2026-09-12T07:12:38+02:00,1789189958,parallel,prepare,-,-,-,1168,
1789188789-1378490,2026-09-12T07:24:29+02:00,1789190669,parallel,build,01_vel-key,01_vel,ath79-generic,712,
1789188789-1378490,2026-09-12T07:33:41+02:00,1789191221,parallel,build,01_vel-key,01_vel,ath79-nand,540,
1789188789-1378490,2026-09-12T07:42:51+02:00,1789191771,parallel,build,01_vel-key,01_vel,ath79-mikrotik,519,
1789188789-1378490,2026-09-12T07:55:22+02:00,1789192522,parallel,build,01_vel-key,01_vel,mediatek-filogic,745,
1789188789-1378490,2026-09-12T08:05:16+02:00,1789193116,parallel,build,01_vel-key,01_vel,mediatek-mt7622,563,
1789188789-1378490,2026-09-12T08:16:18+02:00,1789193778,parallel,build,01_vel-key,01_vel,mpc85xx-p1020,658,
1789188789-1378490,2026-09-12T08:28:03+02:00,1789194483,parallel,build,01_vel-key,01_vel,ramips-mt7621,677,
1789188789-1378490,2026-09-12T08:40:26+02:00,1789195226,parallel,build,01_vel-key,01_vel,x86-generic,736,
1789188789-1378490,2026-09-12T08:53:05+02:00,1789195985,parallel,build,01_vel-key,01_vel,x86-64,754,
1789188789-1378490,2026-09-12T09:01:55+02:00,1789196515,parallel,build,05_mon-key,05_mon,ath79-generic,498,
1789188789-1378490,2026-09-12T09:02:28+02:00,1789196548,parallel,build,05_mon-key,05_mon,x86-64,471,
1789188789-1378490,2026-09-12T09:05:05+02:00,1789196705,parallel,build,05_mon-key,05_mon,ramips-mt7621,568,
1789188789-1378490,2026-09-12T09:06:25+02:00,1789196785,parallel,build,05_mon-key,05_mon,ath79-nand,588,
1789188789-1378490,2026-09-12T09:07:52+02:00,1789196872,parallel,build,05_mon-key,05_mon,mediatek-filogic,615,
1789188789-1378490,2026-09-12T09:08:50+02:00,1789196930,parallel,build,05_mon-key,05_mon,ath79-mikrotik,613,
