run_id,timestamp,epoch,build_order,phase,template,site_code,target,seconds,note
1789142686-2984167,2026-09-11T18:04:46+02:00,1789142686,parallel,run_start,-,-,-,0,domains=5 targets=8 steps=40 sbranch=26091118bro
1789142686-2984167,2026-09-11T18:22:22+02:00,1789143742,parallel,prepare,-,-,-,1055,
1789142686-2984167,2026-09-11T18:34:14+02:00,1789144454,parallel,build,01_vel-key,01_vel,ath79-generic,712,
1789142686-2984167,2026-09-11T18:43:51+02:00,1789145031,parallel,build,01_vel-key,01_vel,ath79-nand,523,
1789142686-2984167,2026-09-11T18:52:51+02:00,1789145571,parallel,build,01_vel-key,01_vel,ath79-mikrotik,512,
1789142686-2984167,2026-09-11T19:05:07+02:00,1789146307,parallel,build,01_vel-key,01_vel,mediatek-filogic,733,
1789142686-2984167,2026-09-11T19:14:49+02:00,1789146889,parallel,build,01_vel-key,01_vel,mediatek-mt7622,556,
1789142686-2984167,2026-09-11T19:27:16+02:00,1789147636,parallel,build,01_vel-key,01_vel,ramips-mt7621,722,
1789142686-2984167,2026-09-11T19:40:09+02:00,1789148409,parallel,build,01_vel-key,01_vel,x86-generic,729,
1789142686-2984167,2026-09-11T19:53:07+02:00,1789149187,parallel,build,01_vel-key,01_vel,x86-64,774,
1789142686-2984167,2026-09-11T19:58:43+02:00,1789149523,parallel,build,05_mon-key,05_mon,mediatek-filogic,331,
1789142686-2984167,2026-09-11T20:00:53+02:00,1789149653,parallel,build,05_mon-key,05_mon,ramips-mt7621,401,
1789142686-2984167,2026-09-11T20:02:40+02:00,1789149760,parallel,build,05_mon-key,05_mon,ath79-mikrotik,389,
1789142686-2984167,2026-09-11T20:03:16+02:00,1789149796,parallel,build,05_mon-key,05_mon,mediatek-mt7622,364,
1789142686-2984167,2026-09-11T20:03:48+02:00,1789149828,parallel,build,05_mon-key,05_mon,ath79-generic,516,
1789142686-2984167,2026-09-11T20:05:20+02:00,1789149920,parallel,build,10_wlf-key,10_wlf,mediatek-filogic,368,
1789142686-2984167,2026-09-11T20:06:03+02:00,1789149963,parallel,build,05_mon-key,05_mon,ath79-nand,471,
1789142686-2984167,2026-09-11T20:07:38+02:00,1789150058,parallel,build,10_wlf-key,10_wlf,ramips-mt7621,396,
1789142686-2984167,2026-09-11T20:09:52+02:00,1789150192,parallel,build,10_wlf-key,10_wlf,ath79-mikrotik,408,
1789142686-2984167,2026-09-11T20:10:43+02:00,1789150243,parallel,build,10_wlf-key,10_wlf,mediatek-mt7622,383,
1789142686-2984167,2026-09-11T20:12:52+02:00,1789150372,parallel,build,21_dias-key,21_dias,mediatek-filogic,445,
1789142686-2984167,2026-09-11T20:14:22+02:00,1789150462,parallel,build,10_wlf-key,10_wlf,ath79-nand,493,
1789142686-2984167,2026-09-11T20:14:35+02:00,1789150475,parallel,build,10_wlf-key,10_wlf,ath79-generic,608,
1789142686-2984167,2026-09-11T20:17:07+02:00,1789150627,parallel,build,21_dias-key,21_dias,ramips-mt7621,535,
1789142686-2984167,2026-09-11T20:18:18+02:00,1789150698,parallel,build,21_dias-key,21_dias,mediatek-mt7622,421,
1789142686-2984167,2026-09-11T20:18:54+02:00,1789150734,parallel,build,21_dias-key,21_dias,ath79-mikrotik,509,
1789142686-2984167,2026-09-11T20:20:58+02:00,1789150858,parallel,build,13_dusfl-key,13_dusfl,mediatek-filogic,428,
1789142686-2984167,2026-09-11T20:21:25+02:00,1789150885,parallel,build,21_dias-key,21_dias,ath79-nand,418,
1789142686-2984167,2026-09-11T20:25:55+02:00,1789151155,parallel,build,21_dias-key,21_dias,ath79-generic,625,
1789142686-2984167,2026-09-11T20:27:11+02:00,1789151231,parallel,build,13_dusfl-key,13_dusfl,ramips-mt7621,595,
1789142686-2984167,2026-09-11T20:27:16+02:00,1789151236,parallel,build,13_dusfl-key,13_dusfl,mediatek-mt7622,508,
1789142686-2984167,2026-09-11T20:28:04+02:00,1789151284,parallel,build,13_dusfl-key,13_dusfl,ath79-mikrotik,548,
1789142686-2984167,2026-09-11T20:29:40+02:00,1789151380,parallel,build,13_dusfl-key,13_dusfl,ath79-nand,482,
1789142686-2984167,2026-09-11T20:30:36+02:00,1789151436,parallel,build,05_mon-key,05_mon,x86-64,565,
1789142686-2984167,2026-09-11T20:33:24+02:00,1789151604,parallel,build,13_dusfl-key,13_dusfl,ath79-generic,418,
1789142686-2984167,2026-09-11T20:35:28+02:00,1789151728,parallel,build,05_mon-key,05_mon,x86-generic,436,
1789142686-2984167,2026-09-11T20:37:36+02:00,1789151856,parallel,build,10_wlf-key,10_wlf,x86-64,388,
1789142686-2984167,2026-09-11T20:40:45+02:00,1789152045,parallel,build,10_wlf-key,10_wlf,x86-generic,314,
1789142686-2984167,2026-09-11T20:42:57+02:00,1789152177,parallel,build,21_dias-key,21_dias,x86-64,318,
1789142686-2984167,2026-09-11T20:45:56+02:00,1789152356,parallel,build,21_dias-key,21_dias,x86-generic,308,
1789142686-2984167,2026-09-11T20:48:04+02:00,1789152484,parallel,build,13_dusfl-key,13_dusfl,x86-64,304,
1789142686-2984167,2026-09-11T20:51:12+02:00,1789152672,parallel,build,13_dusfl-key,13_dusfl,x86-generic,295,
1789142686-2984167,2026-09-11T20:51:33+02:00,1789152693,parallel,finalize,01_vel-key,01_vel,-,14,
1789142686-2984167,2026-09-11T20:51:43+02:00,1789152703,parallel,finalize,05_mon-key,05_mon,-,10,
1789142686-2984167,2026-09-11T20:51:53+02:00,1789152713,parallel,finalize,10_wlf-key,10_wlf,-,9,
1789142686-2984167,2026-09-11T20:52:03+02:00,1789152723,parallel,finalize,21_dias-key,21_dias,-,10,
1789142686-2984167,2026-09-11T20:52:12+02:00,1789152732,parallel,finalize,13_dusfl-key,13_dusfl,-,10,
