run_id,timestamp,epoch,build_order,phase,template,site_code,target,seconds,note
1789669160-1492309,2026-09-17T20:19:20+02:00,1789669160,parallel,run_start,-,-,-,0,domains=8 targets=7 steps=56 sbranch=26091720bro
1789669160-1492309,2026-09-17T20:35:03+02:00,1789670103,parallel,prepare,-,-,-,942,
1789669160-1492309,2026-09-17T20:47:27+02:00,1789670847,parallel,build,01_vel,01_vel,ath79-generic,745,
1789669160-1492309,2026-09-17T21:00:11+02:00,1789671611,parallel,build,01_vel,01_vel,ramips-mt7621,717,
1789669160-1492309,2026-09-17T21:09:38+02:00,1789672178,parallel,build,01_vel,01_vel,ramips-mt76x8,523,
1789669160-1492309,2026-09-17T21:22:32+02:00,1789672952,parallel,build,01_vel,01_vel,mediatek-filogic,731,
1789669160-1492309,2026-09-17T21:34:21+02:00,1789673661,parallel,build,01_vel,01_vel,ipq40xx-generic,682,
1789669160-1492309,2026-09-17T21:48:48+02:00,1789674528,parallel,build,01_vel,01_vel,x86-64,821,
1789669160-1492309,2026-09-17T21:57:03+02:00,1789675023,parallel,build,01_vel,01_vel,ramips-mt7620,491,
1789669160-1492309,2026-09-17T22:02:34+02:00,1789675354,parallel,build,03_rat,03_rat,ramips-mt7620,304,
1789669160-1492309,2026-09-17T22:08:05+02:00,1789675685,parallel,build,03_rat,03_rat,ath79-generic,576,
1789669160-1492309,2026-09-17T22:09:38+02:00,1789675778,parallel,build,03_rat,03_rat,x86-64,609,
1789669160-1492309,2026-09-17T22:11:03+02:00,1789675863,parallel,build,03_rat,03_rat,mediatek-filogic,574,
1789669160-1492309,2026-09-17T22:11:44+02:00,1789675904,parallel,build,03_rat,03_rat,ramips-mt7621,674,
1789669160-1492309,2026-09-17T22:12:21+02:00,1789675941,parallel,build,05_mon,05_mon,ramips-mt7620,549,
1789669160-1492309,2026-09-17T22:13:50+02:00,1789676030,parallel,build,03_rat,03_rat,ipq40xx-generic,681,
1789669160-1492309,2026-09-17T22:14:52+02:00,1789676092,parallel,build,03_rat,03_rat,ramips-mt76x8,683,
1789669160-1492309,2026-09-17T22:20:09+02:00,1789676409,parallel,build,05_mon,05_mon,x86-64,589,
1789669160-1492309,2026-09-17T22:20:45+02:00,1789676445,parallel,build,12_dusuk,12_dusuk,ramips-mt7620,470,
1789669160-1492309,2026-09-17T22:20:59+02:00,1789676459,parallel,build,05_mon,05_mon,mediatek-filogic,563,
1789669160-1492309,2026-09-17T22:22:40+02:00,1789676560,parallel,build,05_mon,05_mon,ath79-generic,827,
1789669160-1492309,2026-09-17T22:24:12+02:00,1789676652,parallel,build,05_mon,05_mon,ramips-mt7621,713,
1789669160-1492309,2026-09-17T22:25:04+02:00,1789676704,parallel,build,05_mon,05_mon,ipq40xx-generic,623,
1789669160-1492309,2026-09-17T22:26:11+02:00,1789676771,parallel,build,05_mon,05_mon,ramips-mt76x8,648,
1789669160-1492309,2026-09-17T22:29:49+02:00,1789676989,parallel,build,21_dias,21_dias,ramips-mt7620,541,
1789669160-1492309,2026-09-17T22:30:28+02:00,1789677028,parallel,build,12_dusuk,12_dusuk,mediatek-filogic,498,
1789669160-1492309,2026-09-17T22:30:48+02:00,1789677048,parallel,build,12_dusuk,12_dusuk,x86-64,607,
1789669160-1492309,2026-09-17T22:32:32+02:00,1789677152,parallel,build,12_dusuk,12_dusuk,ramips-mt7621,462,
1789669160-1492309,2026-09-17T22:33:28+02:00,1789677209,parallel,build,12_dusuk,12_dusuk,ipq40xx-generic,471,
1789669160-1492309,2026-09-17T22:33:52+02:00,1789677232,parallel,build,12_dusuk,12_dusuk,ramips-mt76x8,454,
1789669160-1492309,2026-09-17T22:35:02+02:00,1789677302,parallel,build,12_dusuk,12_dusuk,ath79-generic,666,
1789669160-1492309,2026-09-17T22:37:34+02:00,1789677454,parallel,build,24_dusukw,24_dusukw,ramips-mt7620,448,
1789669160-1492309,2026-09-17T22:38:45+02:00,1789677525,parallel,build,21_dias,21_dias,mediatek-filogic,482,
1789669160-1492309,2026-09-17T22:39:50+02:00,1789677590,parallel,build,21_dias,21_dias,x86-64,536,
1789669160-1492309,2026-09-17T22:42:13+02:00,1789677733,parallel,build,21_dias,21_dias,ramips-mt7621,535,
1789669160-1492309,2026-09-17T22:42:19+02:00,1789677739,parallel,build,21_dias,21_dias,ramips-mt76x8,485,
1789669160-1492309,2026-09-17T22:42:40+02:00,1789677760,parallel,build,21_dias,21_dias,ipq40xx-generic,508,
1789669160-1492309,2026-09-17T22:45:50+02:00,1789677950,parallel,build,18_nefuk,18_nefuk,ramips-mt7620,466,
