run_id,timestamp,epoch,build_order,phase,template,site_code,target,seconds,note
1789132082-2459696,2026-09-11T15:08:02+02:00,1789132082,parallel,run_start,-,-,-,0,domains=4 targets=8 steps=32 sbranch=26091115bro
1789132082-2459696,2026-09-11T15:25:14+02:00,1789133114,parallel,prepare,-,-,-,1031,
1789132082-2459696,2026-09-11T15:36:58+02:00,1789133818,parallel,build,01_vel-key,01_vel,ath79-generic,705,
1789132082-2459696,2026-09-11T15:46:15+02:00,1789134375,parallel,build,01_vel-key,01_vel,ath79-nand,520,
1789132082-2459696,2026-09-11T15:55:18+02:00,1789134918,parallel,build,01_vel-key,01_vel,ath79-mikrotik,515,
1789132082-2459696,2026-09-11T16:07:08+02:00,1789135628,parallel,build,01_vel-key,01_vel,mediatek-filogic,709,
1789132082-2459696,2026-09-11T16:16:32+02:00,1789136192,parallel,build,01_vel-key,01_vel,mediatek-mt7622,559,
1789132082-2459696,2026-09-11T16:28:55+02:00,1789136935,parallel,build,01_vel-key,01_vel,ramips-mt7621,739,
1789132082-2459696,2026-09-11T16:41:16+02:00,1789137676,parallel,build,01_vel-key,01_vel,x86-generic,704,
1789132082-2459696,2026-09-11T16:53:46+02:00,1789138426,parallel,build,01_vel-key,01_vel,x86-64,748,
1789132082-2459696,2026-09-11T16:59:55+02:00,1789138795,parallel,build,05_mon-key,05_mon,ath79-generic,365,
1789132082-2459696,2026-09-11T17:01:46+02:00,1789138906,parallel,build,05_mon-key,05_mon,ath79-nand,415,
1789132082-2459696,2026-09-11T17:03:34+02:00,1789139014,parallel,build,05_mon-key,05_mon,ath79-mikrotik,462,
1789132082-2459696,2026-09-11T17:04:57+02:00,1789139097,parallel,build,05_mon-key,05_mon,mediatek-filogic,486,
1789132082-2459696,2026-09-11T17:05:11+02:00,1789139111,parallel,build,05_mon-key,05_mon,mediatek-mt7622,440,
1789132082-2459696,2026-09-11T17:07:28+02:00,1789139248,parallel,build,05_mon-key,05_mon,ramips-mt7621,514,
1789132082-2459696,2026-09-11T17:08:53+02:00,1789139333,parallel,build,10_wlf-key,10_wlf,ath79-generic,466,
1789132082-2459696,2026-09-11T17:11:24+02:00,1789139484,parallel,build,10_wlf-key,10_wlf,ath79-nand,535,
1789132082-2459696,2026-09-11T17:13:33+02:00,1789139613,parallel,build,10_wlf-key,10_wlf,ath79-mikrotik,569,
1789132082-2459696,2026-09-11T17:14:25+02:00,1789139665,parallel,build,10_wlf-key,10_wlf,mediatek-mt7622,551,
1789132082-2459696,2026-09-11T17:14:30+02:00,1789139670,parallel,build,10_wlf-key,10_wlf,mediatek-filogic,569,
1789132082-2459696,2026-09-11T17:17:14+02:00,1789139834,parallel,build,10_wlf-key,10_wlf,ramips-mt7621,558,
1789132082-2459696,2026-09-11T17:19:18+02:00,1789139958,parallel,build,21_dias-key,21_dias,ath79-generic,535,
1789132082-2459696,2026-09-11T17:20:09+02:00,1789140009,parallel,build,21_dias-key,21_dias,ath79-nand,499,
1789132082-2459696,2026-09-11T17:22:33+02:00,1789140153,parallel,build,21_dias-key,21_dias,ath79-mikrotik,503,
1789132082-2459696,2026-09-11T17:22:35+02:00,1789140155,parallel,build,21_dias-key,21_dias,mediatek-mt7622,469,
1789132082-2459696,2026-09-11T17:22:51+02:00,1789140171,parallel,build,21_dias-key,21_dias,mediatek-filogic,485,
1789132082-2459696,2026-09-11T17:24:25+02:00,1789140265,parallel,build,21_dias-key,21_dias,ramips-mt7621,401,
1789132082-2459696,2026-09-11T17:26:32+02:00,1789140392,parallel,build,05_mon-key,05_mon,x86-generic,413,
1789132082-2459696,2026-09-11T17:27:37+02:00,1789140457,parallel,build,05_mon-key,05_mon,x86-64,439,
1789132082-2459696,2026-09-11T17:32:03+02:00,1789140723,parallel,build,10_wlf-key,10_wlf,x86-generic,292,
1789132082-2459696,2026-09-11T17:32:50+02:00,1789140770,parallel,build,10_wlf-key,10_wlf,x86-64,311,
1789132082-2459696,2026-09-11T17:37:20+02:00,1789141040,parallel,build,21_dias-key,21_dias,x86-generic,295,
1789132082-2459696,2026-09-11T17:38:08+02:00,1789141088,parallel,build,21_dias-key,21_dias,x86-64,315,
1789132082-2459696,2026-09-11T17:38:28+02:00,1789141108,parallel,finalize,01_vel-key,01_vel,-,14,
1789132082-2459696,2026-09-11T17:38:38+02:00,1789141118,parallel,finalize,05_mon-key,05_mon,-,9,
1789132082-2459696,2026-09-11T17:38:48+02:00,1789141128,parallel,finalize,10_wlf-key,10_wlf,-,10,
1789132082-2459696,2026-09-11T17:38:57+02:00,1789141137,parallel,finalize,21_dias-key,21_dias,-,10,
